,LL(%),PL(%),w(%),s'v (kPa),s'p (kPa),su(test) (kPa)
0,-0.8895730067966512,-0.21970955644182025,-0.4433571613501391,3.236632540298379,1.80396947802026,31.5
1,0.4325453104976114,0.43242735028291773,-0.1833724538262056,-0.10281734114679232,-0.44275825467546753,5.74853247
2,-0.38881449257931183,-0.9147083024900863,-0.8439282914661957,-0.09704158210994195,-0.002023825986842105,17.4469
3,-0.28073816260571494,-0.1749621641008412,-0.6108745216855023,-1.0719008696173802,2.7656384971223544,82.0401
4,-0.7769941510955889,0.49312146235075655,-0.3921875924138452,-0.6837159790916024,-0.36592235747805824,18.6
5,-0.5712465872281302,-0.41516322288494606,0.0053605970142825195,-0.6325253564227452,-0.8313635061349774,10.5
6,-0.5440723806795977,-0.65660598731469,-0.26229560972940746,0.7005637755787446,-0.026592358038237406,27.0
7,0.20515931415850705,0.021733207987923282,-0.11665914429534069,-0.1355497280125899,-0.06819603613047602,17.6
8,0.42250250016317564,1.0708939976311336,-0.05552331777853179,0.01977755176300127,-0.20772307141738072,21.6062
9,1.9182212949779833,2.683570702178869,2.6607069739460587,-0.8588625616104861,-0.8543911419590314,10.0032
10,-1.2428376919275712,-0.7715787322812346,-1.2266451781441734,-0.3872369561344711,-0.7117529316197916,10.8
11,0.30353382389370126,-0.6166644557133124,0.020746892781357374,-0.12577871791067174,-0.4898519138251947,17.4026
12,-0.42596163293115563,-0.6671719825771153,-0.4088846163698268,-0.500253061863411,-0.6061437304360893,16.4650059
13,1.2178759977206879,0.6310887563106105,-0.6645356550169248,1.2965079411486906,1.7645109895796522,46.2797
14,2.4723810070926957,2.28014283736576,2.327593080170787,-0.9862952179167725,-1.0547297534673852,8.7013
15,1.7519927914911044,2.35499009433898,2.528925653331665,-0.8519134345831888,-0.8572734967818594,11.5543
16,-1.4106617095417995,-1.1426992557587443,-0.8661004592983604,-0.6527413864917214,-0.4105397020021035,16.4371
17,-0.7571336881381187,-0.4052755668178234,-0.33094942675916394,-0.7529032288964286,-0.8570705290779185,9.81
18,-0.5673645577211969,-0.829065104764507,-0.2583594890420005,-0.4960170293057927,-0.7624574142947073,10.3
19,0.62391383707139,0.9730062025666176,1.0674282976146199,-0.30458542995037874,-0.7416555752485879,13.55348182
